digit1,acc1X,acc1Y,acc1Z,gyro1X,gyro1Y,gyro1Z,rot1X,rot1Y,rot1Z,mag1X,mag1Y,mag1Z,digit2,acc2X,acc2Y,acc2Z,gyro2X,gyro2Y,gyro2Z,rot2X,rot2Y,rot2Z,mag2X,mag2Y,mag2Z,digit3,acc3X,acc3Y,acc3Z,gyro3X,gyro3Y,gyro3Z,rot3X,rot3Y,rot3Z,mag3X,mag3Y,mag3Z,digit4,acc4X,acc4Y,acc4Z,gyro4X,gyro4Y,gyro4Z,rot4X,rot4Y,rot4Z,mag4X,mag4Y,mag4Z,fullSequence
7,0.90388876,5.2893343,8.043473,0.3827068,0.074067354,0.2376264,0.17019989,-0.23334444,-0.7295151,9.675,34.2,32.925003,0,0.9870393,6.09093,7.283752,0.32986698,-0.017867794,-0.021380268,0.18742613,-0.257631,-0.72281194,11.64375,29.643751,25.181252,1,0.79740816,6.619744,7.0869427,-0.013286309,0.30802858,-0.062460925,0.20606567,-0.2600632,-0.72145957,15.8625,20.6625,11.606251,,,,,,,,,,,,,,701
3,2.5525436,5.983253,7.4859457,0.38423395,-0.46517354,0.2771799,0.32758456,0.06444946,0.45781994,15.825001,21.84375,15.69375,2,3.2327034,6.328418,6.9559355,0.24846925,-0.11362085,0.028710645,0.32758456,0.06444946,0.45781994,13.968751,20.8125,16.2,7,2.097309,6.220741,7.19103,-0.15851942,0.5861248,-0.19104797,0.31323904,0.11274788,0.46055436,11.625,18.712502,16.59375,,,,,,,,,,,,,,327
5,2.129014,5.7966127,7.6163545,0.18723005,-0.21395539,0.035124727,0.29539785,0.061704807,0.43321133,13.931251,20.625,15.000001,4,1.8346968,5.8797636,7.2023964,0.057268575,0.20051636,-0.0097738365,0.31407285,0.053689085,0.42791703,12.76875,20.212502,15.431251,0,1.8867407,5.9228344,7.580462,-0.015729768,0.03894263,-0.013897174,0.3094956,0.07404902,0.4330335,12.4875,19.95,15.450001,,,,,,,,,,,,,,540
9,3.1004999,6.068198,7.05105,-0.08353576,0.21670428,-0.022143848,0.3409977,0.040808614,0.4435161,11.512501,19.03125,15.093751,1,1.8921245,5.933004,7.1742806,0.032070402,-0.057726722,0.03573559,0.32012278,0.0771683,0.4559363,9.450001,17.268751,15.675,3,2.7792635,6.2195444,7.0462646,0.12095123,-0.29733843,0.041996952,0.32012278,0.0771683,0.4559363,8.64375,16.63125,15.825001,,,,,,,,,,,,,,913
6,1.861616,5.6333027,7.5720873,0.18692462,-0.31627524,0.08307761,0.32603866,0.053699385,0.44821715,12.731251,19.81875,13.856251,4,2.41376,5.9270215,7.164111,-0.07849612,0.26847506,-0.018325943,0.34109977,0.044710226,0.4447335,10.950001,18.6,14.475,7,2.3198416,5.925825,7.396215,-0.056963142,0.13973531,-0.019547673,0.3150269,0.07037991,0.45561057,10.25625,18.018751,14.6625,,,,,,,,,,,,,,647
4,2.0338993,5.6745787,7.600203,0.018173227,0.017104214,9.162972E-4,0.32160297,0.052665852,0.44589442,11.231251,19.03125,14.212501,8,2.030908,5.710471,7.524829,0.008399391,0.00962112,0.009926553,0.32186532,0.05211091,0.44695815,10.875,18.806252,14.45625,0,1.9680966,5.7009,7.5930243,0.0042760535,0.062308207,-0.0140498895,0.32342312,0.05494167,0.4480984,10.25625,18.4125,14.85,,,,,,,,,,,,,,480
1,1.7934206,5.6446686,7.7108707,0.16905683,-0.2452622,0.082924895,0.3206911,0.059217207,0.44450462,12.468751,19.575,14.137501,5,2.3419752,5.9521465,7.2209406,0.032223117,-0.06902772,0.021838415,0.32992977,0.05069422,0.43940702,12.13125,19.29375,14.343751,9,2.477768,5.9671016,7.1282187,0.021380268,-0.059559315,0.010231985,0.34108934,0.040734142,0.43778875,10.575001,18.487501,15.0375,,,,,,,,,,,,,,159
2,2.722434,6.1447687,6.8775706,0.20708317,-0.33444846,0.07498365,0.31659397,0.055668414,0.44064623,10.59375,18.6,15.20625,3,3.4342988,6.4869423,6.463612,0.085215636,-0.2527453,0.05497783,0.35550076,0.03229694,0.4294739,9.95625,18.13125,15.900001,0,2.9688947,6.108278,6.9278197,-0.36163196,0.6553052,-0.08704823,0.333437,0.046307832,0.4358066,7.93125,16.837502,17.04375,,,,,,,,,,,,,,230
0,1.7617157,5.5890355,7.7347994,0.06017018,-0.032070402,-0.0044287695,0.30934417,0.05965614,0.4402026,11.15625,19.35,14.718751,8,2.0847468,5.8043895,7.4715886,0.07819069,-0.12935062,0.0368046,0.31684336,0.05643873,0.44107106,11.475,19.40625,14.6625,6,2.4544377,5.973682,7.225128,0.20234896,-0.30390522,0.056810424,0.3504632,0.037076347,0.43397802,10.387501,18.65625,15.093751,,,,,,,,,,,,,,086
4,1.9902302,5.759524,7.55115,0.04382955,-0.014660755,0.02687805,0.3197677,0.060894288,0.44528124,11.587501,18.7875,14.75625,7,2.0231316,5.8008003,7.528418,0.016951498,0.023976443,0.0065667965,0.32309315,0.05993697,0.4455097,11.56875,18.73125,14.700001,2,2.4340987,5.9724855,7.2245297,0.1385136,-0.2243401,0.12965605,0.3312985,0.053304024,0.44511664,11.137501,18.50625,14.75625,,,,,,,,,,,,,,472
